"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Проверка окна ПМ","","2","0","22","0","0"
"","Установка ПМ после установки с Launch Application","","0","0","6","0","0"
"","Смена ip","","0","0","3","0","0"
"","Закрытие конфигуратора","","0","0","2","0","0"
"","Запуск конфигуратора","","0","0","2","0","0"
"","Запуск конфигуратора для проверки окон","","0","1","3","0","0"
"","Первичная установка ПМ","","0","0","6","0","0"
"","Запуск ПМ","","0","0","6","0","0"
"","Закрыть ПМ","","0","0","3","0","0"
"","Смена ip в конфигураторе","","0","0","7","0","0"
"","Переустановка с переименованием старой версии ПМ","","0","0","1","0","0"
"","Удаление ПМ","","0","0","2","0","0"
"","Установка с чекбоксом Launch application","","0","0","4","0","0"
"","Проверка не верных паролей для конфигуратора","","0","0","1","0","0"
